customerID,totalspend,avgordervalue,frequency,avgquantity,uniqueproducts,recency,Cluster
C14552,1120.0,1120.0,1,5.0,1,871,0
C26817,268.56,268.56,1,2.0,1,68,9
C28976,1067.62,1067.62,1,2.0,1,871,1
C31946,2037.52,2037.52,1,4.0,1,567,7
C33540,273.19,273.19,1,1.0,1,610,8
C37249,491.72,491.72,1,2.0,1,608,5
C38785,361.0,361.0,1,2.0,1,243,3
C39416,473.96,473.96,1,1.0,1,701,5
C41460,747.75,747.75,1,5.0,1,762,4
C43443,3129.85,3129.85,1,5.0,1,537,6
C60672,423.4,423.4,1,1.0,1,457,8
C72649,2853.1,2853.1,1,5.0,1,892,6
C75739,302.7,302.7,1,2.0,1,300,3
C81728,2753.4,2753.4,1,5.0,1,477,7
C81840,2504.04,2504.04,1,4.0,1,37,7
C83492,664.42,664.42,1,1.0,1,0,2
C84329,431.44,431.44,1,1.0,1,81,9
C88348,604.47,604.47,1,3.0,1,659,1
C93861,147.42,147.42,1,3.0,1,486,5
C98474,786.66,786.66,1,2.0,1,812,1
